slice,sid_metric,target_metric,n,n_unique_sid,n_unique_target,spearman_rho,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,abs_spearman
tie_break=count,unique_l2,Recall@5,6,3,6,0.6761234037828132,0.14035738661899466,0.8865327662047519,0.01858178500111304,0.6024640760767093,0.11446073756370402,0.6761234037828132
tie_break=count,gamma,Recall@5,6,2,6,0.6546536707079772,0.15830242337545788,0.9655824016762774,0.0017564715658478208,0.5773502691896257,0.14323490752466972,0.6546536707079772
tie_break=count,pas_emb,Recall@5,6,6,6,0.6,0.208,0.9753083780036843,0.0009069873481175245,0.4666666666666666,0.2722222222222222,0.6
tie_break=count,pas_behavioral,Recall@5,6,6,6,0.6,0.208,0.9374908119407507,0.005738973731040449,0.4666666666666666,0.2722222222222222,0.6
tie_break=count,max_dupe,Recall@5,6,6,6,-0.4285714285714286,0.3965014577259473,-0.9381352302916974,0.005622488634977832,-0.3333333333333333,0.46944444444444444,0.4285714285714286
tie_break=count,n_layers,Recall@5,6,1,6,,,,,,,
tie_break=count,codebook_size,Recall@5,6,1,6,,,,,,,
tie_break=count,embed_dim,Recall@5,6,1,6,,,,,,,
tie_break=count,beta,Recall@5,6,1,6,,,,,,,
tie_break=count,ema_decay,Recall@5,6,1,6,,,,,,,
tie_break=count,temperature,Recall@5,6,1,6,,,,,,,
tie_break=count,margin,Recall@5,1,1,1,,,,,,,
tie_break=count,unique_l3,Recall@5,6,1,6,,,,,,,
tie_break=popularity,pas_behavioral,NDCG@1,5,5,5,0.6,0.28475697986529386,0.464636692122249,0.4304412913809299,0.39999999999999997,0.48333333333333334,0.6
tie_break=popularity,unique_l0,NDCG@1,5,2,5,0.35355339059327373,0.5594043441634877,0.2671036121482481,0.6640014162106626,0.31622776601683794,0.4795001221869535,0.35355339059327373
tie_break=popularity,unique_l1,NDCG@1,5,2,5,0.35355339059327373,0.5594043441634877,0.2671036121482481,0.6640014162106626,0.31622776601683794,0.4795001221869535,0.35355339059327373
tie_break=popularity,unique_l2,NDCG@1,5,2,5,0.35355339059327373,0.5594043441634877,0.2671036121482482,0.6640014162106626,0.31622776601683794,0.4795001221869535,0.35355339059327373
tie_break=popularity,max_dupe,NDCG@1,5,5,5,0.3,0.623837664781073,0.1667631005500266,0.788658916692291,0.19999999999999998,0.8166666666666667,0.3
tie_break=popularity,entropy_mean,NDCG@1,5,5,5,0.19999999999999998,0.7470600781046621,0.050571404935833474,0.9356379436167943,0.19999999999999998,0.8166666666666667,0.19999999999999998
tie_break=popularity,unique_total_base,NDCG@1,5,5,5,0.19999999999999998,0.7470600781046621,0.17400594879037257,0.7795719025296979,0.19999999999999998,0.8166666666666667,0.19999999999999998
tie_break=popularity,n_collisions,NDCG@1,5,5,5,-0.19999999999999998,0.7470600781046621,-0.17400594879037257,0.7795719025296979,-0.19999999999999998,0.8166666666666667,0.19999999999999998
tie_break=popularity,cfr,NDCG@1,5,5,5,0.19999999999999998,0.7470600781046621,0.1740059487903747,0.7795719025296952,0.19999999999999998,0.8166666666666667,0.19999999999999998
tie_break=popularity,cur_total,NDCG@1,5,5,5,0.19999999999999998,0.7470600781046621,0.1740059487903663,0.7795719025297059,0.19999999999999998,0.8166666666666667,0.19999999999999998
tie_break=popularity,zipf_alpha_full,NDCG@1,5,5,5,-0.19999999999999998,0.7470600781046621,-0.20729538227725866,0.7379659840920614,-0.19999999999999998,0.8166666666666667,0.19999999999999998
tie_break=popularity,entropy_l2,NDCG@1,5,5,5,0.19999999999999998,0.7470600781046621,-0.0781116709143878,0.900646360654926,0.19999999999999998,0.8166666666666667,0.19999999999999998
tie_break=popularity,entropy_min,NDCG@1,5,5,5,-0.09999999999999999,0.8728885715695384,0.0630406158163611,0.9197873910687683,0.0,1.0,0.09999999999999999
